Time,Current,Voltage,Power,Module_Temp,weather_POA,weather_GHI,weather_DNI,weather_DHI,weather_Air_Temp,weather_RH,weather_Pressure,weather_Wind_speed,weather_Rain
2024-09-02 12:50,9.777,213.63,2.088504,55.507,1004.438,916.769,841.268,162.462,32.202,37.31,958.637,3.444,0
2024-09-02 13:00,9.822,213.347,2.095879,56.752,1011.205,922.946,846.619,160.013,32.389,36.45,958.538,3.199,0
2024-09-02 13:10,9.858,213.234,2.10206,56.537,1016.908,928.151,850.674,159.168,32.799,34.973,958.429,3.53,0
2024-09-02 13:20,9.854,212.924,2.097826,56.392,1018.831,929.906,850.109,160.286,33.203,35.034,958.281,3.485,0
2024-09-02 13:30,9.747,215.943,2.10487,54.423,1016.736,927.994,846.712,161.739,33.67,34.637,958.193,3.84,0
2024-09-02 13:40,9.77,213.604,2.086313,55.614,1013.849,925.359,843.514,163.749,33.539,35.216,958.051,3.564,0
2024-09-02 13:50,9.719,212.709,2.067482,55.789,1008.5,920.477,839.607,165.586,33.888,34.878,957.917,3.327,0
2024-09-02 14:00,9.552,213.845,2.042487,55.827,998.443,911.298,830.486,168.891,34.365,34.111,957.776,4.058,0
2024-09-02 14:10,9.414,215.898,2.03228,54.339,991.013,904.516,825.804,171.476,34.096,34.063,957.626,4.35,0
2024-09-02 14:20,9.292,215.722,2.004458,54.067,978.663,893.244,815.327,175.745,34.433,33.226,957.446,4.697,0
2024-09-02 14:30,9.208,215.853,1.98752,53.054,969.301,884.7,815.93,175.513,34.923,32.515,957.239,4.717,0
2024-09-02 14:40,9.029,215.507,1.945644,53.153,951.917,868.833,806.006,177.213,35.114,32.062,957.141,4.933,0
2024-09-02 14:50,8.864,215.967,1.914233,51.786,936.467,854.731,802.381,175.954,35.462,31.268,957.064,5.348,0
2024-09-02 15:00,8.649,216.631,1.873333,51.166,917.148,837.099,792.316,177.884,35.342,30.445,956.972,5.743,0
2024-09-02 15:10,8.404,217.724,1.829072,50.289,895.975,817.774,783.089,178.514,35.643,28.89,956.814,5.815,0
